,x,y,z,cluster
536,-2365.757,1623.3342,-1171.6381,0
537,-2912.4927,1432.9326,-1213.6165,0
538,-3030.1082,1487.3616,-992.8218,0
539,-2562.3203,1576.3116,-1179.6113,0
540,-2207.3193,1689.2131,-1135.9404,0
541,-2721.0828,1650.6923,-1088.128,0
542,-3169.5813,1445.3254,-1125.2562,0
543,-2586.144,1658.126,-1008.29193,0
544,-2215.5317,1717.5597,-1103.2605,0
545,-3071.8457,1437.1888,-1018.16205,0
546,-2707.883,1545.1045,-1130.809,0
547,-3006.4958,1458.3694,-1065.0935,0
548,-2568.8564,1643.1799,-1042.8392,0
549,-2684.8738,1575.9883,-1071.4325,0
550,-2889.1812,1556.6578,-1169.3807,0
551,-2797.761,1476.1815,-1199.7495,0
552,-2406.4521,1688.2687,-1081.4626,0
553,-3147.9702,1431.3988,-1190.5481,0
554,-2810.341,1456.8928,-1117.5155,0
555,-3157.6963,1454.0359,-1175.0734,0
556,-2432.0237,1641.3738,-1080.5874,0
557,-2693.0806,1596.5858,-1136.3663,0
558,-2986.301,1452.6134,-1139.233,0
559,-3154.2578,1488.9586,-1068.2651,0
560,-3308.779,1341.8715,-1163.5491,0
561,-2616.714,1660.2898,-1030.0723,0
562,-2943.672,1363.1235,-1189.1608,0
563,-3239.0815,1348.5067,-1178.2769,0
564,-3287.8567,1360.1993,-1128.0209,0
565,-2826.3992,1606.4652,-1051.6526,0
566,-2947.5276,1450.4636,-1114.8324,0
567,-3693.1675,1309.5026,-1081.24,0
568,-3067.517,1493.2596,-1008.9418,0
569,-3027.216,1599.8594,-1073.4279,0
570,-1983.3716,1745.2886,-1124.7587,0
571,-3090.6301,1440.958,-1106.0035,0
572,-2885.502,1471.0618,-1152.6262,0
573,-2750.5093,1515.7693,-1176.0236,0
574,-2644.7651,1565.8569,-1192.6111,0
575,-2571.991,1624.8131,-1118.8608,0
576,-2871.1626,1455.4829,-1208.0076,0
577,-3744.245,1260.8519,-1080.3114,0
578,-3012.9404,1444.744,-1167.3163,0
579,-2700.9512,1433.5508,-1226.3512,0
580,-3598.923,1305.8864,-1088.9518,0
581,-3286.0847,1380.1467,-1089.0975,0
582,-2853.4285,1469.607,-1032.7615,0
583,-2897.1404,1493.6415,-1163.2833,0
584,-3053.3918,1463.1643,-1172.7096,0
585,-2785.3706,1440.0624,-1099.2386,0
586,-2813.1025,1486.9877,-1134.126,0
587,-2978.2363,1542.9701,-1096.2332,0
588,-2526.1917,1635.2101,-1135.7809,0
589,-3406.741,1362.3564,-1050.8754,0
590,-3041.5957,1493.5083,-1074.0782,0
591,-2576.7817,1588.8932,-1140.4232,0
592,-2260.4844,1661.5609,-1119.9856,0
593,-3018.5073,1436.1044,-1095.9546,0
